datetime,field1,field2,field3,field4,field5,field6,field7
2021-06-20T07:11:38+07:00,218.4,5.156,1126.1,619.3,0.6,25.5,50.4,
2021-06-20T07:12:00+07:00,218.74,3.395,742.6,490.1,0.7,25.5,39.5,
2021-06-20T07:12:18+07:00,213.41,7.153,1526.5,1099.1,0.7,25.3,43.4,
2021-06-20T07:12:54+07:00,221.04,4.461,986.1,571.9,0.6,25.2,46.9,
2021-06-20T07:13:33+07:00,217.19,8.129,1765.5,1182.9,0.7,25.0,44.8,
2021-06-20T07:14:07+07:00,222.51,7.417,1650.4,1039.7,0.6,25.5,48.5,
2021-06-20T07:14:32+07:00,220.33,2.672,588.7,418.0,0.7,24.5,41.7,
2021-06-20T07:14:52+07:00,223.48,3.889,869.1,695.3,0.8,24.3,43.5,
2021-06-20T07:15:14+07:00,219.16,7.17,1571.4,880.0,0.6,25.2,44.6,
2021-06-20T07:15:34+07:00,220.93,6.406,1415.3,1061.5,0.8,24.3,39.2,
2021-06-20T07:16:10+07:00,217.6,3.332,725.0,442.3,0.6,25.3,50.7,
2021-06-20T07:16:28+07:00,223.22,6.829,1524.4,1158.5,0.8,25.4,40.3,
2021-06-20T07:16:43+07:00,216.45,7.028,1521.2,1262.6,0.8,25.2,43.0,
2021-06-20T07:17:14+07:00,217.33,6.883,1495.9,837.7,0.6,24.5,44.7,
2021-06-20T07:17:40+07:00,214.77,3.058,656.8,341.5,0.5,24.9,49.0,
2021-06-20T07:18:19+07:00,217.86,4.873,1061.6,796.2,0.8,24.4,50.2,
2021-06-20T07:18:57+07:00,221.87,7.611,1688.7,1418.5,0.8,25.5,41.9,
2021-06-20T07:19:22+07:00,216.42,5.806,1256.5,841.9,0.7,24.8,39.9,
2021-06-20T07:19:59+07:00,215.34,4.035,868.9,460.5,0.5,24.3,41.2,
2021-06-20T07:20:38+07:00,219.14,3.5,767.0,414.2,0.5,25.2,51.1,
2021-06-20T07:20:53+07:00,213.89,3.968,848.7,500.7,0.6,24.9,46.6,
2021-06-20T07:21:33+07:00,218.67,6.491,1419.4,922.6,0.7,24.8,38.7,
2021-06-20T07:22:11+07:00,218.19,7.139,1557.7,872.3,0.6,24.4,42.6,
2021-06-20T07:22:45+07:00,221.72,3.044,674.9,452.2,0.7,25.5,43.1,
2021-06-20T07:23:21+07:00,222.91,4.676,1042.3,760.9,0.7,25.1,42.9,
2021-06-20T07:23:43+07:00,220.02,6.879,1513.5,1044.3,0.7,24.6,43.1,
2021-06-20T07:24:02+07:00,216.99,4.698,1019.4,774.8,0.8,25.1,50.7,
2021-06-20T07:24:17+07:00,217.12,4.787,1039.4,696.4,0.7,25.3,39.5,
2021-06-20T07:24:57+07:00,217.56,7.076,1539.5,908.3,0.6,24.8,43.5,
2021-06-20T07:25:22+07:00,215.17,2.737,588.9,435.8,0.7,25.3,47.2,
2021-06-20T07:25:53+07:00,217.62,6.369,1386.0,748.5,0.5,24.6,43.7,
2021-06-20T07:26:10+07:00,217.54,3.844,836.2,593.7,0.7,25.0,49.8,
2021-06-20T07:26:41+07:00,216.86,5.423,1176.0,893.8,0.8,24.3,40.7,
2021-06-20T07:27:15+07:00,223.12,6.459,1441.1,1052.0,0.7,24.8,48.4,
2021-06-20T07:27:53+07:00,222.63,5.052,1124.7,674.8,0.6,24.8,39.8,
2021-06-20T07:28:08+07:00,216.48,2.517,544.9,370.5,0.7,24.3,39.2,
2021-06-20T07:28:42+07:00,221.38,7.397,1637.5,1211.8,0.7,24.6,49.4,
2021-06-20T07:29:16+07:00,220.54,6.876,1516.4,1228.3,0.8,24.4,49.7,
2021-06-20T07:29:52+07:00,220.09,3.77,829.7,555.9,0.7,25.5,41.3,
2021-06-20T07:30:20+07:00,214.94,5.444,1170.1,819.1,0.7,25.4,44.8,
2021-06-20T07:30:55+07:00,221.93,3.109,690.0,552.0,0.8,25.4,40.4,
2021-06-20T07:31:19+07:00,213.76,4.054,866.6,719.3,0.8,25.1,38.5,
2021-06-20T07:31:42+07:00,222.66,3.718,827.8,554.7,0.7,25.0,41.9,
2021-06-20T07:31:59+07:00,220.41,7.551,1664.3,1181.7,0.7,24.3,44.6,
2021-06-20T07:32:17+07:00,221.12,7.265,1606.4,1172.7,0.7,24.3,48.0,
2021-06-20T07:32:47+07:00,217.3,2.627,570.8,331.1,0.6,25.4,50.6,
2021-06-20T07:33:21+07:00,220.27,4.243,934.6,495.3,0.5,24.9,46.6,
2021-06-20T07:33:40+07:00,213.43,6.382,1362.1,762.8,0.6,25.4,45.5,
2021-06-20T07:34:07+07:00,215.62,7.957,1715.7,1252.5,0.7,24.5,40.9,
2021-06-20T07:34:48+07:00,220.99,7.427,1641.3,1017.6,0.6,24.4,50.8,
2021-06-20T07:35:10+07:00,222.23,4.939,1097.6,713.4,0.7,24.8,39.9,
2021-06-20T07:35:46+07:00,215.83,5.98,1290.7,761.5,0.6,24.5,47.9,
2021-06-20T07:36:15+07:00,223.45,6.717,1500.9,1065.6,0.7,25.1,45.3,
2021-06-20T07:36:30+07:00,215.49,3.08,663.7,411.5,0.6,25.3,51.6,
2021-06-20T07:36:56+07:00,222.52,4.471,994.9,587.0,0.6,25.5,49.5,
2021-06-20T07:37:32+07:00,216.56,5.603,1213.4,897.9,0.7,24.5,41.9,
2021-06-20T07:38:06+07:00,219.06,3.824,837.7,636.6,0.8,25.5,49.6,
